Country,Recycling,Lead exposure,Unsafe drinking water,Unsafe sanitation ,Wastewater treatment,PM2.5 exposure,Controlled solid waste,Household solid fuels,Ocean Plastics
Australia,52.9,76.4,81.2,95.9,92.9,100.0,95.0,98.1,33.1
Spain,27.7,70.5,94.8,100.0,91.1,79.6,94.0,80.8,29.7
Difference,27.7,5.900000000000006,-13.599999999999994,-4.099999999999994,1.8000000000000114,20.400000000000006,1.0,17.299999999999997,3.400000000000002
Difference in %,27.7,8.0,-14.000000000000002,-4.0,2.0,26.0,1.0,21.0,11.0
